name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,gender
Andre Muniz,24.0,6.0,185.42,83.91,198.12,Southpaw,34.0,1.97,0.5,1.99,0.54,4.23,0.5,0.35,1.2,MALE
Song Kenan,20.0,8.0,182.88,77.11,180.34,Orthodox,34.0,4.36,0.46,6.38,0.5,0.34,0.5,0.61,0.0,MALE
Steve Garcia,15.0,5.0,182.88,70.31,190.5,Southpaw,31.0,4.85,0.56,2.4,0.46,1.31,0.44,0.88,0.7,MALE
Beneil Dariush,22.0,6.0,177.8,70.31,182.88,Southpaw,34.0,3.78,0.48,2.65,0.57,1.9,0.34,0.8,0.9,MALE
Arman Tsarukyan,21.0,3.0,170.18,70.31,182.88,Orthodox,27.0,3.85,0.48,1.91,0.54,3.4,0.36,0.75,0.0,MALE
Jalin Turner,14.0,7.0,190.5,70.31,195.58,Southpaw,28.0,6.02,0.48,4.63,0.41,0.88,0.55,0.75,1.2,MALE
Bobby Green,31.0,15.0,177.8,70.31,180.34,Orthodox,37.0,6.14,0.52,3.74,0.62,1.2,0.37,0.74,0.3,MALE
Rob Font,20.0,8.0,172.72,61.23,180.34,Orthodox,36.0,5.53,0.45,3.65,0.56,0.89,0.35,0.46,0.3,MALE
Deiveson Figueiredo,22.0,3.0,165.1,61.23,172.72,Orthodox,36.0,3.08,0.55,3.46,0.51,1.65,0.44,0.58,1.6,MALE
Sean Brady,16.0,1.0,177.8,77.11,182.88,Orthodox,31.0,3.77,0.53,3.55,0.61,3.29,0.57,0.87,1.2,MALE
Kelvin Gastelum,18.0,9.0,175.26,77.11,180.34,Southpaw,32.0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,MALE
Clay Guida,38.0,21.0,170.18,70.31,177.8,Orthodox,42.0,2.64,0.33,3.01,0.61,3.13,0.36,0.67,0.6,MALE
Joaquim Silva,13.0,5.0,172.72,70.31,175.26,Southpaw,35.0,3.61,0.41,4.51,0.54,0.45,0.6,0.64,0.7,MALE
Miesha Tate,20.0,9.0,167.64,61.23,165.1,Orthodox,37.0,2.62,0.45,2.98,0.51,2.02,0.31,0.55,1.3,FEMALE
Drakkar Klose,14.0,2.0,175.26,70.31,177.8,Orthodox,36.0,4.33,0.55,3.4,0.52,1.78,0.3,0.68,0.0,MALE
Wellington Turman,18.0,8.0,182.88,77.11,182.88,Orthodox,27.0,3.23,0.51,4.17,0.45,1.55,0.2,0.42,0.8,MALE
Paul Craig,17.0,7.0,190.5,83.91,193.04,Orthodox,36.0,2.42,0.46,2.86,0.45,1.76,0.22,0.37,1.6,MALE
Jake Matthews,19.0,7.0,180.34,77.11,185.42,Orthodox,29.0,3.3,0.45,2.56,0.6,1.59,0.4,0.62,0.6,MALE
Jonathan Pearce,14.0,5.0,182.88,65.77,180.34,Switch,31.0,5.6,0.56,3.35,0.55,5.29,0.53,0.56,0.8,MALE
Lucie Pudilova,14.0,9.0,172.72,61.23,170.18,Orthodox,29.0,3.68,0.37,3.83,0.51,0.55,0.27,0.66,0.7,FEMALE
Sergei Pavlovich,18.0,2.0,190.5,116.57,213.36,Southpaw,31.0,8.21,0.48,4.61,0.55,0.0,0.0,0.75,0.0,MALE
Jessica Andrade,25.0,12.0,154.94,52.16,157.48,Orthodox,32.0,6.67,0.5,5.36,0.54,2.45,0.54,0.72,0.4,FEMALE
Matt Frevola,11.0,4.0,175.26,70.31,180.34,Orthodox,33.0,3.71,0.42,3.57,0.59,2.59,0.4,0.42,0.9,MALE
Roosevelt Roberts,12.0,5.0,187.96,70.31,185.42,Orthodox,30.0,3.05,0.44,3.12,0.52,1.39,0.29,0.52,0.9,MALE
Jared Gordon,20.0,6.0,175.26,70.31,172.72,Orthodox,35.0,5.39,0.57,3.4,0.57,1.95,0.4,0.62,0.0,MALE
Kyung Ho Kang,19.0,10.0,175.26,61.23,185.42,Orthodox,36.0,3.35,0.48,3.33,0.55,1.87,0.57,0.68,0.8,MALE
Derrick Lewis,27.0,12.0,190.5,117.93,200.66,Orthodox,39.0,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0.0,MALE
Nicolas Dalby,23.0,4.0,180.34,77.11,187.96,Orthodox,39.0,4.03,0.43,3.43,0.52,1.11,0.3,0.6,0.1,MALE
Angela Hill,16.0,13.0,160.02,52.16,162.56,Orthodox,39.0,5.44,0.5,4.94,0.61,0.73,0.34,0.75,0.1,FEMALE
Marc Diakiese,17.0,7.0,177.8,70.31,185.42,Orthodox,31.0,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0.0,MALE
Islam Makhachev,25.0,1.0,177.8,70.31,177.8,Southpaw,32.0,2.46,0.6,1.27,0.61,3.17,0.6,0.9,1.0,MALE
Kamaru Usman,20.0,4.0,182.88,77.11,193.04,Switch,36.0,4.36,0.52,2.74,0.54,2.82,0.45,0.89,0.1,MALE
Warlley Alves,15.0,7.0,180.34,83.91,182.88,Orthodox,33.0,3.25,0.48,4.21,0.5,1.35,0.5,0.8,0.9,MALE
Said Nurmagomedov,18.0,3.0,172.72,61.23,177.8,Orthodox,31.0,3.55,0.47,2.13,0.57,1.01,0.16,0.66,1.4,MALE
Abu Azaitar,14.0,4.0,175.26,83.91,193.04,Orthodox,38.0,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,MALE
Nathaniel Wood,20.0,6.0,167.64,65.77,175.26,Orthodox,30.0,5.91,0.5,4.22,0.56,1.74,0.48,0.7,0.5,MALE
Bruno Silva,23.0,10.0,182.88,83.91,187.96,Orthodox,34.0,4.43,0.51,5.33,0.43,1.09,0.27,0.73,0.0,MALE
Sodiq Yusuff,13.0,3.0,175.26,65.77,180.34,Orthodox,30.0,5.72,0.49,4.33,0.54,0.28,0.2,0.62,0.4,MALE
Edson Barboza,24.0,11.0,180.34,65.77,190.5,Orthodox,38.0,4.18,0.45,4.34,0.57,0.48,0.5,0.75,0.1,MALE
Jennifer Maia,21.0,10.0,162.56,56.7,162.56,Orthodox,35.0,4.35,0.38,4.52,0.55,0.42,0.27,0.58,0.1,FEMALE
Jonathan Martinez,19.0,4.0,172.72,61.23,177.8,Southpaw,29.0,4.64,0.5,3.76,0.58,0.44,0.41,0.69,0.1,MALE
Darren Elkins,28.0,11.0,177.8,65.77,180.34,Orthodox,39.0,3.44,0.38,3.27,0.52,2.85,0.35,0.56,1.1,MALE
TJ Brown,17.0,11.0,175.26,65.77,182.88,Switch,33.0,3.37,0.44,2.89,0.49,3.41,0.57,0.36,1.3,MALE
Ashley Yoder,8.0,9.0,170.18,52.16,175.26,Southpaw,36.0,3.42,0.39,4.13,0.47,1.09,0.27,0.66,0.6,FEMALE
Grant Dawson,20.0,2.0,177.8,70.31,182.88,Switch,30.0,2.97,0.51,2.27,0.45,3.68,0.36,0.4,1.5,MALE
Abdul Razak Alhassan,12.0,6.0,177.8,83.91,185.42,Orthodox,38.0,3.37,0.48,3.99,0.55,0.89,0.38,0.5,0.2,MALE
Alex Morono,23.0,9.0,180.34,77.11,182.88,Orthodox,33.0,5.02,0.41,4.17,0.58,0.34,0.22,0.5,0.3,MALE
Alexander Hernandez,14.0,7.0,175.26,65.77,182.88,Orthodox,31.0,4.63,0.41,4.9,0.56,1.2,0.31,0.6,0.1,MALE
Karolina Kowalkiewicz,16.0,7.0,160.02,52.16,162.56,Orthodox,38.0,5.92,0.43,5.55,0.59,0.36,0.26,0.74,0.2,FEMALE
Montana De La Rosa,12.0,9.0,170.18,56.7,172.72,Orthodox,29.0,2.7,0.36,3.21,0.44,1.71,0.31,0.64,0.8,FEMALE
JJ Aldrich,13.0,6.0,165.1,56.7,170.18,Southpaw,31.0,4.05,0.46,4.53,0.6,0.71,0.25,0.66,0.0,FEMALE
Rafael Fiziev,12.0,3.0,172.72,70.31,180.34,Switch,31.0,4.9,0.51,4.97,0.49,0.29,0.4,0.89,0.0,MALE
Marina Rodriguez,17.0,3.0,167.64,52.16,165.1,Orthodox,36.0,4.77,0.48,2.89,0.56,0.25,0.42,0.66,0.2,FEMALE
Tim Means,33.0,15.0,187.96,77.11,190.5,Orthodox,40.0,5.1,0.49,3.65,0.6,1.16,0.42,0.65,0.2,MALE
Jake Collier,13.0,10.0,190.5,104.33,198.12,Orthodox,35.0,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6,MALE
Hannah Goldy,6.0,4.0,162.56,52.16,154.94,Orthodox,31.0,5.19,0.47,4.67,0.5,0.66,0.12,0.54,0.2,FEMALE
Christos Giagos,20.0,11.0,177.8,70.31,180.34,Orthodox,34.0,2.98,0.42,2.95,0.51,2.93,0.37,0.52,0.4,MALE
Kyle Nelson,15.0,5.0,180.34,65.77,180.34,Switch,32.0,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,MALE
Tracy Cortez,11.0,1.0,165.1,56.7,165.1,Orthodox,30.0,4.11,0.53,2.79,0.6,2.33,0.46,0.75,0.3,FEMALE
Alex Reyes,13.0,4.0,180.34,70.31,185.42,Orthodox,37.0,4.04,0.39,10.91,0.4,0.0,0.0,0.0,0.0,MALE
Israel Adesanya,24.0,3.0,193.04,83.91,203.2,Switch,34.0,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1,MALE
Alexander Volkov,37.0,10.0,200.66,113.4,203.2,Orthodox,35.0,5.1,0.57,3.0,0.54,0.49,0.63,0.73,0.2,MALE
John Makdessi,18.0,9.0,172.72,70.31,172.72,Orthodox,38.0,5.52,0.49,4.15,0.68,0.0,0.0,0.86,0.0,MALE
Shane Young,13.0,8.0,172.72,65.77,182.88,Orthodox,30.0,5.19,0.4,5.46,0.52,0.63,0.18,0.64,0.0,MALE
Serghei Spivac,16.0,4.0,190.5,117.93,198.12,Orthodox,29.0,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5,MALE
Volkan Oezdemir,19.0,7.0,187.96,92.99,190.5,Orthodox,34.0,4.59,0.47,3.92,0.55,0.57,0.33,0.8,0.1,MALE
Zarah Fairn,6.0,6.0,172.72,61.23,182.88,Orthodox,40.0,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0,FEMALE
Max Holloway,25.0,7.0,180.34,65.77,175.26,Orthodox,32.0,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3,MALE
Chan Sung Jung,17.0,8.0,170.18,65.77,182.88,Orthodox,37.0,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6,MALE
Ryan Spann,21.0,9.0,195.58,92.99,200.66,Orthodox,32.0,3.42,0.4,3.91,0.45,1.29,0.35,0.47,1.5,MALE
Giga Chikadze,15.0,3.0,182.88,65.77,187.96,Orthodox,35.0,4.08,0.43,3.44,0.62,0.23,0.33,0.69,0.2,MALE
Alex Caceres,21.0,14.0,177.8,65.77,185.42,Southpaw,35.0,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7,MALE
Taila Santos,19.0,3.0,167.64,56.7,172.72,Orthodox,30.0,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1,FEMALE
Aljamain Sterling,23.0,4.0,170.18,65.77,180.34,Orthodox,34.0,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8,MALE
Zhang Weili,24.0,3.0,162.56,52.16,160.02,Switch,34.0,5.94,0.51,3.44,0.53,2.29,0.42,0.66,0.4,FEMALE
Chris Weidman,15.0,7.0,187.96,83.91,198.12,Orthodox,39.0,2.98,0.43,3.27,0.5,3.6,0.43,0.65,0.8,MALE
Austin Hubbard,16.0,7.0,177.8,70.31,180.34,Orthodox,32.0,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,MALE
Vicente Luque,22.0,9.0,180.34,77.11,190.5,Orthodox,32.0,5.17,0.52,5.15,0.52,1.04,0.6,0.62,0.7,MALE
Cub Swanson,29.0,13.0,172.72,65.77,177.8,Orthodox,40.0,4.7,0.5,3.84,0.59,1.09,0.52,0.61,0.4,MALE
Hakeem Dawodu,13.0,4.0,172.72,65.77,185.42,Orthodox,32.0,5.45,0.5,3.37,0.56,0.0,0.0,0.65,0.0,MALE
Cory Sandhagen,17.0,4.0,180.34,61.23,177.8,Switch,31.0,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,MALE
Tatiana Suarez,11.0,0.0,165.1,52.16,167.64,Southpaw,33.0,4.27,0.63,1.38,0.51,6.2,0.61,1.0,0.9,FEMALE
Gavin Tucker,13.0,3.0,167.64,65.77,167.64,Southpaw,37.0,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5,MALE
Tanner Boser,21.0,10.0,187.96,92.99,190.5,Orthodox,32.0,4.7,0.52,2.75,0.58,0.0,0.0,0.63,0.0,MALE
Damon Jackson,22.0,6.0,180.34,65.77,180.34,Switch,35.0,3.02,0.4,3.46,0.5,2.44,0.34,0.4,1.6,MALE
Justin Gaethje,25.0,4.0,180.34,70.31,177.8,Orthodox,35.0,7.35,0.6,7.5,0.53,0.13,0.25,0.75,0.0,MALE
Jan Blachowicz,29.0,10.0,187.96,92.99,198.12,Orthodox,41.0,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,MALE
Michael Chiesa,18.0,7.0,185.42,77.11,190.5,Southpaw,36.0,1.87,0.4,1.7,0.54,3.33,0.5,0.6,1.0,MALE
Lerone Murphy,13.0,0.0,175.26,65.77,185.42,Orthodox,32.0,3.65,0.5,2.4,0.56,1.29,0.46,0.46,0.9,MALE
Davey Grant,15.0,7.0,172.72,61.23,175.26,Orthodox,38.0,4.77,0.42,3.82,0.55,1.26,0.41,0.61,0.2,MALE
Danny Roberts,18.0,8.0,185.42,77.11,187.96,Southpaw,36.0,3.18,0.39,3.73,0.5,0.24,0.09,0.57,0.2,MALE
Joel Alvarez,20.0,3.0,190.5,70.31,195.58,Orthodox,31.0,3.65,0.46,3.37,0.5,0.0,0.0,0.11,1.3,MALE
Makhmud Muradov,26.0,8.0,187.96,83.91,190.5,Orthodox,34.0,4.21,0.43,2.57,0.61,3.03,0.66,0.77,0.2,MALE
Ketlen Vieira,14.0,3.0,172.72,61.23,172.72,Orthodox,32.0,3.04,0.41,3.92,0.51,1.51,0.44,0.92,0.6,FEMALE
Norma Dumont,10.0,2.0,170.18,61.23,170.18,Orthodox,33.0,3.41,0.49,1.99,0.66,1.39,0.64,0.72,0.0,FEMALE
Tyson Nam,21.0,14.0,170.18,56.7,172.72,Orthodox,40.0,3.87,0.33,4.97,0.65,0.0,0.0,0.87,0.0,MALE
Ashlee Evans-Smith,6.0,6.0,172.72,61.23,170.18,Orthodox,36.0,4.03,0.34,4.59,0.53,0.95,0.22,0.5,0.0,FEMALE
Dan Hooker,23.0,12.0,182.88,70.31,190.5,Switch,34.0,5.08,0.48,4.76,0.51,0.79,0.34,0.8,0.4,MALE
Robbie Lawler,30.0,16.0,180.34,77.11,187.96,Southpaw,42.0,3.85,0.47,4.67,0.59,0.65,0.64,0.65,0.0,MALE
Niko Price,15.0,7.0,182.88,77.11,193.04,Orthodox,34.0,5.46,0.42,5.6,0.48,0.7,0.2,0.64,0.7,MALE
Jimmy Crute,12.0,4.0,187.96,92.99,187.96,Orthodox,28.0,3.68,0.54,3.04,0.44,4.84,0.57,0.6,2.0,MALE
Damir Ismagulov,24.0,3.0,177.8,70.31,187.96,Orthodox,33.0,3.36,0.42,2.44,0.61,1.0,0.28,0.7,0.0,MALE
Kevin Lee,18.0,8.0,175.26,77.11,195.58,Orthodox,31.0,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8,MALE
Blagoy Ivanov,19.0,6.0,180.34,113.4,185.42,Southpaw,37.0,3.25,0.4,4.2,0.53,0.69,0.4,0.61,0.1,MALE
Marvin Vettori,19.0,7.0,182.88,83.91,187.96,Southpaw,30.0,4.56,0.45,4.24,0.56,1.66,0.45,0.69,0.5,MALE
Jared Cannonier,17.0,6.0,180.34,83.91,195.58,Switch,40.0,4.68,0.52,4.13,0.59,0.44,0.42,0.63,0.0,MALE
Amanda Nunes,23.0,5.0,172.72,61.23,175.26,Orthodox,35.0,4.55,0.51,2.62,0.57,2.73,0.54,0.82,0.7,FEMALE
Charles Oliveira,34.0,9.0,177.8,70.31,187.96,Orthodox,34.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7,MALE
Nate Landwehr,17.0,5.0,175.26,65.77,182.88,Orthodox,35.0,6.14,0.46,5.58,0.55,1.07,0.41,0.86,1.1,MALE
David Dvorak,20.0,6.0,165.1,56.7,172.72,Orthodox,31.0,3.48,0.43,3.29,0.59,0.58,0.3,0.7,0.2,MALE
Kai Kara-France,24.0,11.0,162.56,56.7,175.26,Orthodox,31.0,4.57,0.39,3.24,0.65,0.63,0.33,0.88,0.0,MALE
Daniel Pineda,28.0,15.0,170.18,65.77,175.26,Orthodox,38.0,3.09,0.49,3.18,0.46,1.71,0.25,0.48,1.7,MALE
Elizeu Zaleski dos Santos,24.0,7.0,180.34,77.11,185.42,Orthodox,37.0,4.52,0.42,3.33,0.57,0.43,0.13,0.68,0.4,MALE
Diego Ferreira,18.0,5.0,175.26,70.31,187.96,Orthodox,39.0,4.66,0.37,3.42,0.56,0.71,0.22,0.63,0.7,MALE
Ilir Latifi,17.0,9.0,177.8,104.33,185.42,Orthodox,41.0,2.05,0.45,2.93,0.56,2.11,0.35,1.0,0.3,MALE
Takashi Sato,16.0,7.0,177.8,77.11,185.42,Southpaw,33.0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0,MALE
Daniel Rodriguez,17.0,4.0,185.42,77.11,187.96,Southpaw,37.0,7.3,0.5,5.28,0.56,0.62,0.5,0.63,0.1,MALE
Matt Brown,26.0,19.0,182.88,77.11,190.5,Orthodox,43.0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3,MALE
Court McGee,22.0,12.0,180.34,77.11,190.5,Orthodox,39.0,4.63,0.37,3.68,0.6,1.89,0.25,0.69,0.4,MALE
Chase Sherman,16.0,12.0,193.04,113.4,198.12,Orthodox,34.0,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0,MALE
Cody Stamann,21.0,6.0,167.64,61.23,162.56,Orthodox,34.0,4.39,0.47,3.63,0.62,2.34,0.39,0.76,0.0,MALE
Douglas Silva de Andrade,29.0,5.0,170.18,61.23,172.72,Orthodox,38.0,3.66,0.38,3.99,0.58,0.61,0.46,0.7,0.2,MALE
Ji Yeon Kim,9.0,7.0,170.18,56.7,182.88,Orthodox,34.0,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1,FEMALE
Jessica-Rose Clark,11.0,9.0,165.1,61.23,162.56,Orthodox,36.0,3.73,0.51,3.51,0.58,1.66,0.42,0.62,0.3,FEMALE
Belal Muhammad,23.0,3.0,180.34,77.11,182.88,Orthodox,35.0,4.55,0.43,3.64,0.57,1.98,0.35,0.93,0.2,MALE
Yan Xiaonan,17.0,3.0,165.1,52.16,160.02,Orthodox,34.0,5.55,0.44,3.56,0.61,0.86,0.66,0.7,0.0,FEMALE
Kron Gracie,5.0,2.0,175.26,65.77,177.8,Southpaw,35.0,3.74,0.44,6.82,0.53,0.47,0.25,0.0,0.5,MALE
Virna Jandiroba,19.0,3.0,160.02,52.16,162.56,Orthodox,35.0,2.34,0.4,3.03,0.56,2.42,0.39,0.73,1.0,FEMALE
Journey Newson,10.0,5.0,165.1,61.23,170.18,Orthodox,35.0,2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3,MALE
Rani Yahya,28.0,11.0,167.64,61.23,170.18,Orthodox,39.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,MALE
Montel Jackson,13.0,2.0,177.8,61.23,190.5,Southpaw,31.0,3.36,0.53,1.41,0.64,3.42,0.71,0.69,0.3,MALE
Matheus Nicolau,19.0,4.0,167.64,56.7,167.64,Orthodox,31.0,3.66,0.53,3.14,0.66,1.48,0.45,0.93,0.9,MALE
Zak Cummings,25.0,7.0,182.88,92.99,190.5,Southpaw,39.0,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6,MALE
Ed Herman,27.0,16.0,185.42,92.99,195.58,Orthodox,43.0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0,MALE
Lando Vannata,12.0,7.0,175.26,70.31,180.34,Orthodox,32.0,4.52,0.45,4.76,0.55,1.09,0.37,0.69,0.3,MALE
Aaron Phillips,12.0,5.0,175.26,61.23,180.34,Southpaw,34.0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,MALE
Jorge Masvidal,35.0,17.0,180.34,77.11,187.96,Orthodox,39.0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3,MALE
Santiago Ponzinibbio,30.0,7.0,182.88,77.11,185.42,Orthodox,37.0,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0.0,MALE
Cynthia Calvillo,9.0,6.0,162.56,52.16,162.56,Orthodox,36.0,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8,FEMALE
Holly Holm,15.0,6.0,172.72,61.23,175.26,Southpaw,42.0,3.21,0.4,2.79,0.56,0.9,0.3,0.78,0.1,FEMALE
Steven Peterson,19.0,11.0,177.8,65.77,177.8,Orthodox,33.0,4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7,MALE
Gunnar Nelson,19.0,5.0,180.34,77.11,182.88,Switch,35.0,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0,MALE
Makwan Amirkhani,17.0,9.0,177.8,65.77,182.88,Southpaw,35.0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1,MALE
Nikita Krylov,30.0,9.0,190.5,92.99,195.58,Orthodox,32.0,4.38,0.55,2.47,0.44,2.29,0.38,0.53,1.4,MALE
Guido Cannetti,10.0,8.0,167.64,61.23,172.72,Southpaw,44.0,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4,MALE
Raphael Assuncao,28.0,10.0,165.1,61.23,167.64,Orthodox,41.0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,MALE
Tony Gravely,23.0,9.0,165.1,61.23,175.26,Orthodox,32.0,3.82,0.48,4.47,0.44,5.4,0.41,0.52,0.3,MALE
Bruno Silva,13.0,5.0,162.56,56.7,165.1,Orthodox,34.0,3.05,0.46,3.09,0.59,2.57,0.3,0.64,0.3,MALE
Jon Jones,27.0,1.0,193.04,112.49,213.36,Orthodox,36.0,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5,MALE
Valentina Shevchenko,23.0,4.0,165.1,56.7,167.64,Southpaw,36.0,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4,FEMALE
Alexa Grasso,16.0,3.0,165.1,56.7,167.64,Orthodox,30.0,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,FEMALE
Derek Brunson,23.0,9.0,185.42,83.91,195.58,Southpaw,40.0,3.51,0.47,3.05,0.51,3.14,0.33,0.85,0.6,MALE
Julian Marquez,9.0,4.0,187.96,83.91,182.88,Orthodox,33.0,4.86,0.44,4.99,0.51,0.0,0.0,0.53,2.6,MALE
Jessica Penne,14.0,8.0,165.1,52.16,170.18,Orthodox,41.0,2.52,0.31,4.75,0.46,1.32,0.21,0.36,0.6,FEMALE
Augusto Sakai,16.0,5.0,190.5,120.2,195.58,Orthodox,32.0,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0,MALE
Lina Lansberg,10.0,8.0,170.18,61.23,165.1,Orthodox,42.0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1,FEMALE
Zubaira Tukhugov,20.0,6.0,172.72,70.31,172.72,Orthodox,33.0,3.17,0.39,3.07,0.63,2.13,0.39,1.0,0.0,MALE
Glover Teixeira,33.0,9.0,187.96,92.99,193.04,Orthodox,44.0,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9,MALE
Lauren Murphy,16.0,6.0,165.1,56.7,170.18,Orthodox,40.0,4.05,0.39,5.25,0.55,1.03,0.25,0.69,0.1,FEMALE
Mauricio Rua,27.0,14.0,185.42,92.99,193.04,Orthodox,42.0,3.57,0.5,2.79,0.54,2.01,0.48,0.49,0.7,MALE
Shamil Abdurakhimov,20.0,8.0,190.5,106.59,193.04,Orthodox,42.0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,MALE
Darren Till,18.0,5.0,182.88,83.91,187.96,Southpaw,31.0,2.3,0.46,3.31,0.56,0.55,0.46,0.69,0.0,MALE
Dalcha Lungiambula,11.0,6.0,172.72,83.91,193.04,Orthodox,36.0,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0.0,MALE
Scott Holtzman,14.0,6.0,175.26,70.31,175.26,Orthodox,40.0,4.32,0.47,3.66,0.55,1.88,0.56,0.67,0.2,MALE
Vince Morales,11.0,7.0,175.26,61.23,177.8,Orthodox,33.0,4.17,0.37,4.24,0.53,0.14,0.25,0.64,0.0,MALE
Carla Esparza,20.0,7.0,154.94,52.16,160.02,Orthodox,36.0,2.16,0.4,2.69,0.55,3.22,0.35,0.47,0.3,FEMALE
Frankie Edgar,23.0,11.0,167.64,61.23,172.72,Orthodox,42.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,MALE
Dominick Reyes,12.0,4.0,193.04,92.99,195.58,Southpaw,34.0,4.75,0.5,3.77,0.48,0.36,0.28,0.8,0.4,MALE
Julio Arce,18.0,6.0,170.18,65.77,177.8,Southpaw,34.0,4.38,0.36,3.1,0.68,0.49,0.3,0.95,0.4,MALE
Darrick Minner,26.0,14.0,170.18,65.77,175.26,Orthodox,33.0,2.63,0.65,2.28,0.35,2.4,0.72,0.66,2.7,MALE
Shanna Young,9.0,6.0,170.18,56.7,165.1,Orthodox,33.0,3.18,0.47,4.88,0.43,0.0,0.0,0.53,0.6,FEMALE
Benito Lopez,10.0,2.0,177.8,61.23,185.42,Switch,29.0,4.39,0.45,5.18,0.56,0.0,0.0,0.73,0.3,MALE
Calvin Kattar,23.0,7.0,180.34,65.77,182.88,Orthodox,36.0,5.12,0.39,7.1,0.54,0.42,0.29,0.91,0.1,MALE
TJ Dillashaw,18.0,5.0,167.64,61.23,170.18,Orthodox,38.0,5.09,0.41,3.47,0.62,1.56,0.3,0.77,0.8,MALE
Misha Cirkunov,15.0,9.0,190.5,92.99,195.58,Orthodox,37.0,3.86,0.51,3.06,0.57,4.15,0.39,0.76,1.7,MALE
Brandon Davis,14.0,10.0,177.8,61.23,182.88,Orthodox,33.0,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1,MALE
Mike Jackson,1.0,2.0,187.96,77.11,187.96,Orthodox,39.0,4.49,0.57,3.73,0.62,0.71,0.33,0.88,0.0,MALE
Francisco Trinaldo,28.0,9.0,175.26,77.11,177.8,Southpaw,45.0,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5,MALE
Aleksei Oleinik,60.0,17.0,187.96,108.86,203.2,Orthodox,46.0,3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9,MALE
Jesse Ronson,21.0,12.0,177.8,70.31,177.8,Southpaw,38.0,3.54,0.47,3.39,0.57,0.46,0.28,0.57,0.5,MALE
Krzysztof Jotko,24.0,6.0,185.42,83.91,195.58,Southpaw,34.0,2.98,0.42,2.23,0.57,1.33,0.39,0.82,0.1,MALE
Randy Costa,6.0,4.0,175.26,61.23,185.42,Switch,29.0,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,MALE
Alen Amedovski,8.0,4.0,177.8,83.91,187.96,Orthodox,35.0,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,MALE
Nate Diaz,22.0,13.0,182.88,77.11,193.04,Southpaw,38.0,4.57,0.45,3.77,0.52,1.05,0.3,0.41,1.3,MALE
Li Jingliang,19.0,8.0,182.88,77.11,180.34,Orthodox,36.0,4.46,0.42,3.84,0.57,1.25,0.41,0.6,0.0,MALE
